track_id,genre,audio_path,split
2,Hip-Hop,fma_medium/000/000002.mp3,train
3,Hip-Hop,fma_medium/000/000003.mp3,train
5,Hip-Hop,fma_medium/000/000005.mp3,train
10,Pop,fma_medium/000/000010.mp3,train
134,Hip-Hop,fma_medium/000/000134.mp3,train
136,Rock,fma_medium/000/000136.mp3,train
139,Folk,fma_medium/000/000139.mp3,train
140,Folk,fma_medium/000/000140.mp3,train
141,Folk,fma_medium/000/000141.mp3,train
148,Experimental,fma_medium/000/000148.mp3,validation
181,Rock,fma_medium/000/000181.mp3,test
182,Rock,fma_medium/000/000182.mp3,test
190,Folk,fma_medium/000/000190.mp3,train
193,Folk,fma_medium/000/000193.mp3,train
194,Folk,fma_medium/000/000194.mp3,train
197,Folk,fma_medium/000/000197.mp3,train
198,Folk,fma_medium/000/000198.mp3,train
200,Folk,fma_medium/000/000200.mp3,train
203,Folk,fma_medium/000/000203.mp3,train
204,Folk,fma_medium/000/000204.mp3,train
207,Folk,fma_medium/000/000207.mp3,train
208,Folk,fma_medium/000/000208.mp3,train
209,Folk,fma_medium/000/000209.mp3,train
210,Folk,fma_medium/000/000210.mp3,train
211,Folk,fma_medium/000/000211.mp3,train
212,Folk,fma_medium/000/000212.mp3,train
213,Pop,fma_medium/000/000213.mp3,train
237,Jazz,fma_medium/000/000237.mp3,train
247,Rock,fma_medium/000/000247.mp3,train
249,Rock,fma_medium/000/000249.mp3,train
255,Rock,fma_medium/000/000255.mp3,train
256,Rock,fma_medium/000/000256.mp3,train
257,Rock,fma_medium/000/000257.mp3,train
258,Rock,fma_medium/000/000258.mp3,train
341,Rock,fma_medium/000/000341.mp3,train
343,Rock,fma_medium/000/000343.mp3,train
352,Rock,fma_medium/000/000352.mp3,train
368,Rock,fma_medium/000/000368.mp3,train
369,Rock,fma_medium/000/000369.mp3,train
397,Electronic,fma_medium/000/000397.mp3,train
398,Electronic,fma_medium/000/000398.mp3,train
399,Electronic,fma_medium/000/000399.mp3,train
400,Electronic,fma_medium/000/000400.mp3,train
405,Electronic,fma_medium/000/000405.mp3,train
414,Electronic,fma_medium/000/000414.mp3,train
424,Experimental,fma_medium/000/000424.mp3,train
425,Experimental,fma_medium/000/000425.mp3,train
458,Rock,fma_medium/000/000458.mp3,validation
459,Rock,fma_medium/000/000459.mp3,validation
512,Rock,fma_medium/000/000512.mp3,train
534,Folk,fma_medium/000/000534.mp3,train
535,Folk,fma_medium/000/000535.mp3,train
