track_id,genre,split,audio_path,valid,duration,sample_rate,channels,removal_reason
1486,Electronic,train,fma_medium/001/001486.mp3,False,,,,invalid_audio
5574,Rock,test,fma_medium/005/005574.mp3,False,,,,invalid_audio
65753,Electronic,validation,fma_medium/065/065753.mp3,False,,,,invalid_audio
80391,Instrumental,train,fma_medium/080/080391.mp3,False,,,,invalid_audio
98558,Hip-Hop,train,fma_medium/098/098558.mp3,False,,,,invalid_audio
98559,Hip-Hop,train,fma_medium/098/098559.mp3,False,,,,invalid_audio
98560,Hip-Hop,train,fma_medium/098/098560.mp3,False,,,,invalid_audio
98565,Hip-Hop,train,fma_medium/098/098565.mp3,True,1.633718820861678,44100.0,2.0,duration_under_10_seconds
98566,Hip-Hop,train,fma_medium/098/098566.mp3,True,6.309637188208617,44100.0,2.0,duration_under_10_seconds
98567,Hip-Hop,train,fma_medium/098/098567.mp3,True,0.5365759637188209,44100.0,2.0,duration_under_10_seconds
98568,Hip-Hop,train,fma_medium/098/098568.mp3,True,6.596984126984127,44100.0,2.0,duration_under_10_seconds
98569,Hip-Hop,train,fma_medium/098/098569.mp3,True,1.5553514739229024,44100.0,2.0,duration_under_10_seconds
98571,Hip-Hop,train,fma_medium/098/098571.mp3,False,,,,invalid_audio
99134,Electronic,train,fma_medium/099/099134.mp3,False,,,,invalid_audio
105247,Rock,train,fma_medium/105/105247.mp3,False,,,,invalid_audio
108925,Rock,train,fma_medium/108/108925.mp3,False,,,,invalid_audio
126981,Folk,train,fma_medium/126/126981.mp3,False,,,,invalid_audio
127336,Rock,train,fma_medium/127/127336.mp3,False,,,,invalid_audio
133297,Experimental,train,fma_medium/133/133297.mp3,False,,,,invalid_audio
143992,Rock,train,fma_medium/143/143992.mp3,False,,,,invalid_audio
