track_id,audio_path,genre,split
2,fma_medium/000/000002.mp3,Hip-Hop,train
3,fma_medium/000/000003.mp3,Hip-Hop,train
5,fma_medium/000/000005.mp3,Hip-Hop,train
10,fma_medium/000/000010.mp3,Pop,train
134,fma_medium/000/000134.mp3,Hip-Hop,train
136,fma_medium/000/000136.mp3,Rock,train
139,fma_medium/000/000139.mp3,Folk,train
140,fma_medium/000/000140.mp3,Folk,train
141,fma_medium/000/000141.mp3,Folk,train
148,fma_medium/000/000148.mp3,Experimental,validation
181,fma_medium/000/000181.mp3,Rock,test
182,fma_medium/000/000182.mp3,Rock,test
190,fma_medium/000/000190.mp3,Folk,train
193,fma_medium/000/000193.mp3,Folk,train
194,fma_medium/000/000194.mp3,Folk,train
197,fma_medium/000/000197.mp3,Folk,train
198,fma_medium/000/000198.mp3,Folk,train
200,fma_medium/000/000200.mp3,Folk,train
203,fma_medium/000/000203.mp3,Folk,train
204,fma_medium/000/000204.mp3,Folk,train
207,fma_medium/000/000207.mp3,Folk,train
208,fma_medium/000/000208.mp3,Folk,train
209,fma_medium/000/000209.mp3,Folk,train
210,fma_medium/000/000210.mp3,Folk,train
211,fma_medium/000/000211.mp3,Folk,train
212,fma_medium/000/000212.mp3,Folk,train
213,fma_medium/000/000213.mp3,Pop,train
237,fma_medium/000/000237.mp3,Jazz,train
247,fma_medium/000/000247.mp3,Rock,train
249,fma_medium/000/000249.mp3,Rock,train
255,fma_medium/000/000255.mp3,Rock,train
256,fma_medium/000/000256.mp3,Rock,train
257,fma_medium/000/000257.mp3,Rock,train
258,fma_medium/000/000258.mp3,Rock,train
341,fma_medium/000/000341.mp3,Rock,train
343,fma_medium/000/000343.mp3,Rock,train
352,fma_medium/000/000352.mp3,Rock,train
368,fma_medium/000/000368.mp3,Rock,train
369,fma_medium/000/000369.mp3,Rock,train
397,fma_medium/000/000397.mp3,Electronic,train
398,fma_medium/000/000398.mp3,Electronic,train
399,fma_medium/000/000399.mp3,Electronic,train
400,fma_medium/000/000400.mp3,Electronic,train
405,fma_medium/000/000405.mp3,Electronic,train
414,fma_medium/000/000414.mp3,Electronic,train
424,fma_medium/000/000424.mp3,Experimental,train
425,fma_medium/000/000425.mp3,Experimental,train
458,fma_medium/000/000458.mp3,Rock,validation
459,fma_medium/000/000459.mp3,Rock,validation
512,fma_medium/000/000512.mp3,Rock,train
534,fma_medium/000/000534.mp3,Folk,train
535,fma_medium/000/000535.mp3,Folk,train
536,fma_medium/000/000536.mp3,Folk,train
537,fma_medium/000/000537.mp3,Folk,train
540,fma_medium/000/000540.mp3,Folk,train
546,fma_medium/000/000546.mp3,Folk,train
550,fma_medium/000/000550.mp3,Electronic,train
564,fma_medium/000/000564.mp3,Rock,test
573,fma_medium/000/000573.mp3,Rock,train
574,fma_medium/000/000574.mp3,Rock,train
583,fma_medium/000/000583.mp3,Hip-Hop,validation
584,fma_medium/000/000584.mp3,Hip-Hop,validation
585,fma_medium/000/000585.mp3,Hip-Hop,validation
590,fma_medium/000/000590.mp3,Jazz,train
591,fma_medium/000/000591.mp3,Jazz,train
592,fma_medium/000/000592.mp3,Jazz,train
593,fma_medium/000/000593.mp3,Jazz,train
602,fma_medium/000/000602.mp3,Folk,validation
603,fma_medium/000/000603.mp3,Folk,validation
605,fma_medium/000/000605.mp3,Rock,train
608,fma_medium/000/000608.mp3,Rock,train
615,fma_medium/000/000615.mp3,Experimental,train
619,fma_medium/000/000619.mp3,Folk,train
620,fma_medium/000/000620.mp3,Folk,train
621,fma_medium/000/000621.mp3,Folk,train
625,fma_medium/000/000625.mp3,Folk,train
629,fma_medium/000/000629.mp3,Folk,train
631,fma_medium/000/000631.mp3,Folk,train
633,fma_medium/000/000633.mp3,Rock,train
635,fma_medium/000/000635.mp3,Rock,train
664,fma_medium/000/000664.mp3,Electronic,train
665,fma_medium/000/000665.mp3,Electronic,train
666,fma_medium/000/000666.mp3,International,train
667,fma_medium/000/000667.mp3,International,train
668,fma_medium/000/000668.mp3,Hip-Hop,train
669,fma_medium/000/000669.mp3,Hip-Hop,train
672,fma_medium/000/000672.mp3,Hip-Hop,train
673,fma_medium/000/000673.mp3,Hip-Hop,train
674,fma_medium/000/000674.mp3,Hip-Hop,train
676,fma_medium/000/000676.mp3,Hip-Hop,train
677,fma_medium/000/000677.mp3,Hip-Hop,train
679,fma_medium/000/000679.mp3,Hip-Hop,train
680,fma_medium/000/000680.mp3,Hip-Hop,train
681,fma_medium/000/000681.mp3,Hip-Hop,train
684,fma_medium/000/000684.mp3,Hip-Hop,train
686,fma_medium/000/000686.mp3,Hip-Hop,train
690,fma_medium/000/000690.mp3,Rock,validation
694,fma_medium/000/000694.mp3,Hip-Hop,train
695,fma_medium/000/000695.mp3,Hip-Hop,train
696,fma_medium/000/000696.mp3,Rock,train
698,fma_medium/000/000698.mp3,Rock,train
701,fma_medium/000/000701.mp3,Rock,train
702,fma_medium/000/000702.mp3,Rock,train
703,fma_medium/000/000703.mp3,Rock,train
704,fma_medium/000/000704.mp3,International,test
705,fma_medium/000/000705.mp3,International,test
706,fma_medium/000/000706.mp3,International,test
707,fma_medium/000/000707.mp3,International,test
708,fma_medium/000/000708.mp3,International,test
709,fma_medium/000/000709.mp3,International,test
714,fma_medium/000/000714.mp3,Folk,train
715,fma_medium/000/000715.mp3,Folk,train
716,fma_medium/000/000716.mp3,Folk,train
717,fma_medium/000/000717.mp3,Folk,train
718,fma_medium/000/000718.mp3,Folk,train
720,fma_medium/000/000720.mp3,Rock,train
734,fma_medium/000/000734.mp3,Soul-RnB,test
735,fma_medium/000/000735.mp3,Soul-RnB,test
736,fma_medium/000/000736.mp3,Soul-RnB,test
737,fma_medium/000/000737.mp3,Soul-RnB,test
738,fma_medium/000/000738.mp3,Soul-RnB,test
739,fma_medium/000/000739.mp3,Soul-RnB,test
740,fma_medium/000/000740.mp3,Soul-RnB,test
741,fma_medium/000/000741.mp3,Soul-RnB,test
742,fma_medium/000/000742.mp3,Soul-RnB,test
743,fma_medium/000/000743.mp3,Soul-RnB,test
744,fma_medium/000/000744.mp3,Soul-RnB,test
745,fma_medium/000/000745.mp3,Soul-RnB,test
747,fma_medium/000/000747.mp3,Soul-RnB,test
748,fma_medium/000/000748.mp3,Soul-RnB,test
749,fma_medium/000/000749.mp3,Soul-RnB,test
750,fma_medium/000/000750.mp3,Soul-RnB,test
751,fma_medium/000/000751.mp3,Soul-RnB,test
752,fma_medium/000/000752.mp3,Soul-RnB,test
