track_id,genre,audio_path
2,Hip-Hop,fma_medium/000/000002.mp3
3,Hip-Hop,fma_medium/000/000003.mp3
5,Hip-Hop,fma_medium/000/000005.mp3
10,Pop,fma_medium/000/000010.mp3
134,Hip-Hop,fma_medium/000/000134.mp3
136,Rock,fma_medium/000/000136.mp3
139,Folk,fma_medium/000/000139.mp3
140,Folk,fma_medium/000/000140.mp3
141,Folk,fma_medium/000/000141.mp3
148,Experimental,fma_medium/000/000148.mp3
181,Rock,fma_medium/000/000181.mp3
182,Rock,fma_medium/000/000182.mp3
190,Folk,fma_medium/000/000190.mp3
193,Folk,fma_medium/000/000193.mp3
194,Folk,fma_medium/000/000194.mp3
197,Folk,fma_medium/000/000197.mp3
198,Folk,fma_medium/000/000198.mp3
200,Folk,fma_medium/000/000200.mp3
203,Folk,fma_medium/000/000203.mp3
204,Folk,fma_medium/000/000204.mp3
207,Folk,fma_medium/000/000207.mp3
208,Folk,fma_medium/000/000208.mp3
209,Folk,fma_medium/000/000209.mp3
210,Folk,fma_medium/000/000210.mp3
211,Folk,fma_medium/000/000211.mp3
212,Folk,fma_medium/000/000212.mp3
213,Pop,fma_medium/000/000213.mp3
237,Jazz,fma_medium/000/000237.mp3
247,Rock,fma_medium/000/000247.mp3
249,Rock,fma_medium/000/000249.mp3
255,Rock,fma_medium/000/000255.mp3
256,Rock,fma_medium/000/000256.mp3
257,Rock,fma_medium/000/000257.mp3
258,Rock,fma_medium/000/000258.mp3
341,Rock,fma_medium/000/000341.mp3
343,Rock,fma_medium/000/000343.mp3
352,Rock,fma_medium/000/000352.mp3
368,Rock,fma_medium/000/000368.mp3
369,Rock,fma_medium/000/000369.mp3
397,Electronic,fma_medium/000/000397.mp3
398,Electronic,fma_medium/000/000398.mp3
399,Electronic,fma_medium/000/000399.mp3
400,Electronic,fma_medium/000/000400.mp3
405,Electronic,fma_medium/000/000405.mp3
414,Electronic,fma_medium/000/000414.mp3
424,Experimental,fma_medium/000/000424.mp3
425,Experimental,fma_medium/000/000425.mp3
458,Rock,fma_medium/000/000458.mp3
459,Rock,fma_medium/000/000459.mp3
512,Rock,fma_medium/000/000512.mp3
534,Folk,fma_medium/000/000534.mp3
535,Folk,fma_medium/000/000535.mp3
536,Folk,fma_medium/000/000536.mp3
537,Folk,fma_medium/000/000537.mp3
540,Folk,fma_medium/000/000540.mp3
546,Folk,fma_medium/000/000546.mp3
550,Electronic,fma_medium/000/000550.mp3
564,Rock,fma_medium/000/000564.mp3
573,Rock,fma_medium/000/000573.mp3
574,Rock,fma_medium/000/000574.mp3
583,Hip-Hop,fma_medium/000/000583.mp3
584,Hip-Hop,fma_medium/000/000584.mp3
585,Hip-Hop,fma_medium/000/000585.mp3
590,Jazz,fma_medium/000/000590.mp3
591,Jazz,fma_medium/000/000591.mp3
592,Jazz,fma_medium/000/000592.mp3
593,Jazz,fma_medium/000/000593.mp3
602,Folk,fma_medium/000/000602.mp3
603,Folk,fma_medium/000/000603.mp3
605,Rock,fma_medium/000/000605.mp3
608,Rock,fma_medium/000/000608.mp3
615,Experimental,fma_medium/000/000615.mp3
619,Folk,fma_medium/000/000619.mp3
620,Folk,fma_medium/000/000620.mp3
621,Folk,fma_medium/000/000621.mp3
625,Folk,fma_medium/000/000625.mp3
629,Folk,fma_medium/000/000629.mp3
631,Folk,fma_medium/000/000631.mp3
633,Rock,fma_medium/000/000633.mp3
635,Rock,fma_medium/000/000635.mp3
664,Electronic,fma_medium/000/000664.mp3
665,Electronic,fma_medium/000/000665.mp3
666,International,fma_medium/000/000666.mp3
667,International,fma_medium/000/000667.mp3
668,Hip-Hop,fma_medium/000/000668.mp3
669,Hip-Hop,fma_medium/000/000669.mp3
672,Hip-Hop,fma_medium/000/000672.mp3
673,Hip-Hop,fma_medium/000/000673.mp3
674,Hip-Hop,fma_medium/000/000674.mp3
676,Hip-Hop,fma_medium/000/000676.mp3
677,Hip-Hop,fma_medium/000/000677.mp3
679,Hip-Hop,fma_medium/000/000679.mp3
680,Hip-Hop,fma_medium/000/000680.mp3
681,Hip-Hop,fma_medium/000/000681.mp3
684,Hip-Hop,fma_medium/000/000684.mp3
686,Hip-Hop,fma_medium/000/000686.mp3
690,Rock,fma_medium/000/000690.mp3
694,Hip-Hop,fma_medium/000/000694.mp3
695,Hip-Hop,fma_medium/000/000695.mp3
696,Rock,fma_medium/000/000696.mp3
698,Rock,fma_medium/000/000698.mp3
701,Rock,fma_medium/000/000701.mp3
702,Rock,fma_medium/000/000702.mp3
703,Rock,fma_medium/000/000703.mp3
704,International,fma_medium/000/000704.mp3
705,International,fma_medium/000/000705.mp3
706,International,fma_medium/000/000706.mp3
707,International,fma_medium/000/000707.mp3
708,International,fma_medium/000/000708.mp3
709,International,fma_medium/000/000709.mp3
714,Folk,fma_medium/000/000714.mp3
715,Folk,fma_medium/000/000715.mp3
716,Folk,fma_medium/000/000716.mp3
717,Folk,fma_medium/000/000717.mp3
718,Folk,fma_medium/000/000718.mp3
720,Rock,fma_medium/000/000720.mp3
734,Soul-RnB,fma_medium/000/000734.mp3
735,Soul-RnB,fma_medium/000/000735.mp3
736,Soul-RnB,fma_medium/000/000736.mp3
737,Soul-RnB,fma_medium/000/000737.mp3
738,Soul-RnB,fma_medium/000/000738.mp3
739,Soul-RnB,fma_medium/000/000739.mp3
740,Soul-RnB,fma_medium/000/000740.mp3
741,Soul-RnB,fma_medium/000/000741.mp3
742,Soul-RnB,fma_medium/000/000742.mp3
743,Soul-RnB,fma_medium/000/000743.mp3
744,Soul-RnB,fma_medium/000/000744.mp3
745,Soul-RnB,fma_medium/000/000745.mp3
747,Soul-RnB,fma_medium/000/000747.mp3
748,Soul-RnB,fma_medium/000/000748.mp3
749,Soul-RnB,fma_medium/000/000749.mp3
750,Soul-RnB,fma_medium/000/000750.mp3
751,Soul-RnB,fma_medium/000/000751.mp3
752,Soul-RnB,fma_medium/000/000752.mp3
753,Soul-RnB,fma_medium/000/000753.mp3
754,Soul-RnB,fma_medium/000/000754.mp3
755,Soul-RnB,fma_medium/000/000755.mp3
756,Soul-RnB,fma_medium/000/000756.mp3
757,Soul-RnB,fma_medium/000/000757.mp3
758,Soul-RnB,fma_medium/000/000758.mp3
759,Soul-RnB,fma_medium/000/000759.mp3
760,Soul-RnB,fma_medium/000/000760.mp3
761,Soul-RnB,fma_medium/000/000761.mp3
762,Soul-RnB,fma_medium/000/000762.mp3
763,Soul-RnB,fma_medium/000/000763.mp3
764,Soul-RnB,fma_medium/000/000764.mp3
765,Soul-RnB,fma_medium/000/000765.mp3
766,Soul-RnB,fma_medium/000/000766.mp3
767,Soul-RnB,fma_medium/000/000767.mp3
768,Soul-RnB,fma_medium/000/000768.mp3
769,Soul-RnB,fma_medium/000/000769.mp3
770,Soul-RnB,fma_medium/000/000770.mp3
771,Soul-RnB,fma_medium/000/000771.mp3
772,Soul-RnB,fma_medium/000/000772.mp3
773,Soul-RnB,fma_medium/000/000773.mp3
774,Soul-RnB,fma_medium/000/000774.mp3
775,Soul-RnB,fma_medium/000/000775.mp3
776,Soul-RnB,fma_medium/000/000776.mp3
777,Rock,fma_medium/000/000777.mp3
814,Folk,fma_medium/000/000814.mp3
819,Experimental,fma_medium/000/000819.mp3
820,Experimental,fma_medium/000/000820.mp3
821,Pop,fma_medium/000/000821.mp3
